phyloorder,OTTid,OTTname,fg,originalname,class,phylum,logweight,avgsize,avgbio,avgwgt,mobility,diet,calcifier,chordate,segmented,legnum,symmetry,spines,shells,obligate associates
36,342479,Ovulidae,6,Ovulidae,Gastropoda,Mollusca,-2.397940009,1.8,2.397752963,0.004,4,3,1,0,0,1,0,0,1,0
92,340328,Paguridae,2,Paguridae,Malacostraca,Arthropoda (Crustacea),-1.65660644,4.833333333,26.89057761,0.04925641,2,1,1,0,1,4,0,0,1,0
96,83264,Palaemonoidea,1,Palaemonidae,Malacostraca,Arthropoda (Crustacea),-1.880292413,9.18,12.35438942,0.024994949,2,1,1,0,1,4,0,0,0,0
71,97964,Paranthuridae,1,Paranthuridae,Malacostraca,Arthropoda (Crustacea),-2.8,3.975,1.053293891,0.00175,2,1,1,0,1,6,0,0,0,0
78,1026716,Paratanaidae,3,Paratanaidae,Malacostraca,Arthropoda (Crustacea),-2.774227503,4.8,0.630640731,0.001,2,3,1,0,1,6,0,0,0,0
52,717800,Patellidae,5,Patellidae,Gastropoda,Mollusca,-2.274227503,2.225,3.53292882,0.0055,4,2,1,0,0,1,0,0,1,0
60,975312,Pectinidae,8,Pectinidae,Bivalvia,Mollusca,-1.503554946,6.754545455,28.02985301,0.139454545,1,1,1,0,0,1,0,0,2,0
99,212710,Dendrobranchiata,1,Penaeidae,Malacostraca,Arthropoda (Crustacea),-1.987920877,9.56,7.706218586,0.0112,2,0,1,0,1,4,0,0,0,0
15,247687,Phascolosomatidae,10,Phascolosomatidae,Phascolosomatidea ,Sipuncula,-2.377479,6.5,1.932605257,0.006,3,0,0,0,0,0,0,0,0,0
55,2915453,Phasianellidae,5,Phasianellidae,Gastropoda,Mollusca,-2.215012657,3.384,9.654932054,0.02416,4,2,1,0,0,1,0,0,1,0
5,890240,Phyllodocidae,12,Phyllodocidae,Polychaeta,Annelida,-1.143707244,8.866666667,34.34881325,0.2345,2,3,0,0,1,0,0,0,0,0
82,284330,Pilumnidae,3,Pilumnidae ,Malacostraca,Arthropoda (Crustacea),-2.061889851,2.878571429,7.046998405,0.019105263,2,3,1,0,1,4,0,0,0,0
50,583123,Plakobranchus,10,Plakobranchidae,Gastropoda,Mollusca,-2.698970004,4.1,0.880322101,0.002,4,2,0,0,0,1,0,0,0,0
69,720419,Acotylea,10,Platyhelminthes,Platyhelminthes,Platyhelminthes,-2.247425011,6.4,3.938104776,0.009,1,3,0,0,0,0,0,0,0,0
49,165261,Pleurobranchidae,10,Pleurobranchidae,Gastropoda,Mollusca,-2.698970004,2.6,0.860296066,0.0025,4,1,0,0,0,1,0,0,0,0
9,4983148,Synsyllis,12,Polychaeta,Polychaeta,Annelida,-2.590187892,8.242346939,2.737656709,0.006326531,2,1,0,0,1,0,0,0,0,0
7,1067347,Polynoidae,12,Polynoidae,Polychaeta,Annelida,-2.458916903,3.133333333,6.774608305,0.004,2,3,0,0,1,0,0,0,0,0
108,769569,Pomacentridae,11,Pomacentridae,Actinopterygii ,Chordata,0.066,16.1,7.580366617,0.066,1,1,0,1,0,0,0,0,0,0
95,211908,Porcellanidae,1,Porcellanidae,Malacostraca,Arthropoda (Crustacea),-2.061604235,1.725,4.576085362,0.00925,2,1,1,0,1,4,0,0,0,0
86,706441,Portunidae,3,Portunidae,Malacostraca,Arthropoda (Crustacea),-1.872695576,5.111111111,26.74265192,0.0535,2,3,1,0,1,4,0,0,0,0
41,2920127,Epigridae,7,Potamididae,Gastropoda,Mollusca,-2.235280514,3.384057971,12.70663075,0.036307971,4,0,1,0,0,1,0,0,1,0
68,756231,Pseudocerotidae,10,Pseudocerotidae,Turbellaria ,Platyhelminthes,-1.613506313,11.1,46.25260046,0.0275,1,3,0,0,0,0,0,0,0,0
59,645953,Pteriidae,8,Pteriidae,Bivalvia,Mollusca,-1.611924223,6.3,78.53016018,0.07525,0,1,1,0,0,1,0,0,2,0
103,910210,Pycnogonida,3,Pycnogonida,Pynogonida ,Arthropoda (Crustacea),-2.810127482,0.522,1.717430999,0.00181,2,3,1,0,1,3,0,0,0,0
47,701577,Cylichnidae,6,Pyramidellidae,Gastropoda,Mollusca,-2.4146065,2.964,2.903792415,0.0052,4,3,1,0,0,1,0,0,1,0
35,5224244,Rissoinidae,7,Rissoinidae,Gastropoda,Mollusca,-2.666666667,1.833333333,2.952061928,0.002666667,4,0,1,0,0,1,0,0,1,0
124,712383,Scleractinia,9,Scleractinia,Anthozoa,Cnidaria,-3,0.2125,0.628568048,0.001,0,1,1,0,0,0,0,0,0,0
