Site,Habitat,coverhabs,cover,biomass,n15,h,sw,simp,invsimp,j,Actiniaria,Aglajidae,Alpheidae,Amphinomidae,Amphipoda,Anaspidea,Anthuridae,Aplustridae,Asellota,Asterinidae,Bivalvia,Blennidae,Bonelliida,Brachyura,Buccinidae,Bullidae,Cancellaridae,Caprellidae,Cardiidae,Chitonidae,Cidaridae,Cirratulidae,Columbellidae,Conidae,Costellariidae,Crinoidea,Cumacea,Cypraeidae,Diadematidae,Dialidae,Diogenidae,Dromiidae,Epialtidae,Epitoniidae,Eunicidae,Fasciolariidae,Fissurellidae,Galatheidae,Gastropoda,Gobiidae,Golfingiidae,Gonodactylidae,Haliotidae,Haminoeidae,Hesionidae,Hippolytidae,Isopoda,Joeropsididae,Labridae,Limidae,Littorinidae,Majidae,Mitridae,Mollusca,Monacanthidae,Muricidae,Mysida,Mytilidae,Naticidae,Nematoda,Nemertea,Nereididae,Nudibranchia,Oligochaeta,Olividae,Ophiactidae,Ophidiasteridae,Ophiocomidae ,Ophiomyxidae ,Ophiotrichidae,Ophiuroidea,Opisthobranchia,Ostracoda,Ovulidae,Paguridae,Palaemonidae,Paranthuridae,Paratanaidae,Patellidae,Pectinidae,Penaeidae,Phascolosomatidae,Phasianellidae,Phyllodocidae,Pilumnidae,Plakobranchidae,Platyhelminthes,Pleurobranchidae,Polychaeta,Polynoidae,Pomacentridae,Porcellanidae,Portunidae,Potamididae,Pseudocerotidae,Pteriidae,Pycnogonida,Pyramidellidae,Rissoinidae,Scleractinia,Scorpaenidae,Sipuncula,Stenetriidae ,Stomatopoda,Strombidae,Syllidae,Tanaidacea,Terebellida,Terebridae,Tetraliidae ,Toxopneustidae,Trapeziidae,Triphoridae,Triviidae,Trochidae,Turbinellidae,Turbinidae,Turridae,Veneridae,Vermetidae,Volutidae,Xanthidae
SDO,Dead_coral,7.904642408,2.625,23.052,2.006,2.599460503,2.599460503,0.91195694,11.3580786,0.917495503,0,0,69.67706841,0,69.67706841,0,0,0,0,0,34.83853421,0,0,0,34.83853421,174.192671,0,0,0,0,0,0,0,0,34.83853421,0,0,0,0,0,0,0,69.67706841,0,0,139.3541368,0,243.8697394,0,34.83853421,0,0,0,0,0,209.0312052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.67706841,0,0,0,0,0,0,0,0,0,69.67706841,0,0,0,0,0,0,0,0,0,0,0,34.83853421,243.8697394,0,0,0,0,174.192671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.67706841,0,0,0,0,0,0,0,0,0,0,0,0,0
SDO,Dead_coral,7.904642408,2.625,23.052,2.006,2.34078952,2.34078952,0.861979167,7.245283019,0.826195996,0,0,32.70507634,0,261.6406107,0,32.70507634,0,0,0,0,0,0,0,32.70507634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.70507634,0,0,0,0,0,0,163.5253817,0,196.230458,0,0,0,0,0,32.70507634,98.11522901,0,0,0,0,0,0,0,0,32.70507634,0,0,32.70507634,0,0,0,0,32.70507634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.70507634,0,0,32.70507634,425.1659924,0,0,0,0,0,0,0,0,0,32.70507634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.41015267
Sew1,Dead_coral,1.136708093,0.125,18.22261111,3.006,2.284336344,2.284336344,0.882222222,8.490566038,0.919284571,0,0,0,0,132.0483152,0,0,0,0,88.03221014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01610507,0,88.03221014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.0644203,0,0,0,0,0,0,0,0,0,44.01610507,0,0,0,0,0,0,0,176.0644203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01610507,0,0,0,0,0,0,0,0,132.0483152
Sew1,Dead_coral,1.136708093,0.125,18.22261111,3.006,2.07049304,2.07049304,0.861678005,7.229508197,0.942321992,0,81.61801444,0,0,81.61801444,0,0,0,0,81.61801444,0,0,0,0,163.2360289,0,0,0,0,0,244.8540433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734.56213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.61801444,0,0,0,0,0,0,0,0,0,0,0,81.61801444,0,0,0,0,571.3261011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.61801444,0,0,0,81.61801444,0,0,0,0,0,0,0,0,0,0,81.61801444,0,0,0,0,0,0,0,0,0,0,0,0,652.9441156
Sew1,Dead_coral,1.136708093,0.125,18.22261111,3.006,2.132159648,2.132159648,0.842951059,6.36744186,0.831267737,0,0,120.7617513,0,0,0,0,0,0,60.38087566,0,0,0,0,0,0,0,0,0,0,60.38087566,0,60.38087566,0,0,0,0,0,0,0,60.38087566,0,0,0,0,181.142627,0,0,0,120.7617513,0,0,60.38087566,0,0,0,0,0,0,0,0,181.142627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.9043783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.9043783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.9043783
Sew2,Dead_coral,0.248962656,0.0625,14.42238889,3.108,2.203257637,2.203257637,0.852770125,6.792099792,0.813595566,0,0,38.12673683,0,190.6336842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.83564911,12.70891228,0,0,0,0,0,0,0,0,25.41782455,0,0,25.41782455,0,228.760421,0,12.70891228,0,0,0,0,0,0,76.25347366,0,0,0,0,0,12.70891228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.70891228,38.12673683,0,0,0,76.25347366,0,0,0,0,127.0891228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.4317192
Sew2,Dead_coral,0.248962656,0.0625,14.42238889,3.108,2.160757656,2.160757656,0.857988166,7.041666667,0.901105932,0,0,0,0,417.4513497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3628374,0,0,0,0,730.5398619,0,0,0,0,0,0,0,0,208.7256748,0,0,104.3628374,0,0,0,0,0,104.3628374,0,104.3628374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3628374,313.0885122,0,0,0,0,0,0,0,0,0,0,0,0,208.7256748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.0885122
Sew2,Dead_coral,0.248962656,0.0625,14.42238889,3.108,2.144759538,2.144759538,0.820861678,5.582278481,0.812699108,0,0,17.59336302,0,52.78008907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59336302,17.59336302,0,0,0,0,0,0,0,0,0,0,0,17.59336302,0,123.1535412,0,17.59336302,0,0,0,0,0,0,17.59336302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.18672605,52.78008907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59336302,0,35.18672605,0,0,0,0,52.78008907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.9004454
Sew3,Dead_coral,1.35184777,0.333333333,23.03161111,2.722,2.870976521,2.870976521,0.916930738,12.03814714,0.852605968,0,0,0,0,1583.559332,143.9599393,143.9599393,143.9599393,0,143.9599393,0,0,0,0,0,0,0,287.9198785,0,0,0,0,0,0,0,0,0,0,0,0,719.7996964,287.9198785,287.9198785,0,0,863.7596356,0,2303.359028,0,143.9599393,0,143.9599393,0,0,0,0,287.9198785,0,0,0,0,0,0,0,0,0,0,143.9599393,0,0,431.8798178,0,287.9198785,0,0,143.9599393,0,0,1871.479211,0,0,0,0,0,0,287.9198785,0,0,0,143.9599393,0,0,0,0,143.9599393,0,0,0,287.9198785,0,0,0,0,143.9599393,0,143.9599393,431.8798178,0,143.9599393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.9198785,0,0,0,0,1151.679514
Sew3,Dead_coral,1.35184777,0.333333333,23.03161111,2.722,2.706633259,2.706633259,0.909922268,11.10152284,0.875637685,0,0,47.02713933,0,235.1356966,0,0,0,0,0,0,0,0,0,0,47.02713933,0,0,0,0,0,0,47.02713933,0,0,0,0,0,0,0,47.02713933,0,188.1085573,0,0,470.2713933,0,752.4342292,0,0,0,0,0,0,0,329.1899753,0,0,0,0,0,0,0,0,0,0,0,94.05427865,0,0,0,0,0,0,0,94.05427865,0,0,94.05427865,0,0,0,0,0,0,188.1085573,0,0,0,0,0,0,0,0,0,0,47.02713933,0,141.081418,0,0,0,0,376.2171146,0,0,47.02713933,0,0,0,0,0,0,0,0,0,0,0,94.05427865,0,0,0,0,0,47.02713933,0,47.02713933,0,0,0,188.1085573,188.1085573
